epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,3101.68,0.97858,0.51731,0.86112,0.60423,0.34474,0.37764,0.20488,1.2551,0.63882,0.92948,0.00846111,0.00846111,0.00846111
131,3125.96,0.97407,0.5136,0.85997,0.60812,0.3462,0.37811,0.20561,1.24612,0.63344,0.92632,0.00843851,0.00843851,0.00843851
132,3149.26,0.97667,0.51414,0.8605,0.60261,0.34237,0.38033,0.20577,1.26018,0.64625,0.92867,0.00841577,0.00841577,0.00841577
133,3173.48,0.9692,0.51263,0.85995,0.61095,0.34041,0.37923,0.20497,1.25985,0.64487,0.92785,0.0083929,0.0083929,0.0083929
134,3196.73,0.97499,0.51275,0.85947,0.60608,0.34469,0.38401,0.2084,1.25659,0.64413,0.92791,0.00836989,0.00836989,0.00836989
135,3220.74,0.9748,0.51389,0.86118,0.59286,0.3526,0.38071,0.20736,1.25002,0.63098,0.92736,0.00834676,0.00834676,0.00834676
136,3244.84,0.97072,0.51435,0.86055,0.60448,0.34709,0.38179,0.20654,1.25303,0.63626,0.92704,0.00832349,0.00832349,0.00832349
137,3267.93,0.97562,0.51528,0.85876,0.60771,0.34568,0.38168,0.20671,1.25031,0.63704,0.92676,0.0083001,0.0083001,0.0083001
138,3291.87,0.97028,0.51086,0.85934,0.60301,0.34139,0.37619,0.20377,1.25191,0.63837,0.92873,0.00827658,0.00827658,0.00827658
139,3315.14,0.9639,0.50882,0.85824,0.59269,0.34762,0.37887,0.20523,1.25803,0.64292,0.92928,0.00825293,0.00825293,0.00825293
140,3338.93,0.96761,0.51456,0.85928,0.60112,0.34693,0.37876,0.20409,1.26207,0.63808,0.92748,0.00822915,0.00822915,0.00822915
141,3363.07,0.96864,0.51228,0.85871,0.60291,0.34675,0.37976,0.20543,1.25605,0.63372,0.92891,0.00820525,0.00820525,0.00820525
142,3386.41,0.96592,0.50779,0.85896,0.6051,0.35161,0.38269,0.2077,1.24042,0.62928,0.92459,0.00818122,0.00818122,0.00818122
143,3410.75,0.95932,0.50788,0.85755,0.62089,0.3454,0.38416,0.20816,1.24205,0.63395,0.92603,0.00815707,0.00815707,0.00815707
144,3433.87,0.95867,0.50466,0.85776,0.61675,0.34851,0.38532,0.20843,1.24752,0.6363,0.92535,0.0081328,0.0081328,0.0081328
145,3457.05,0.95678,0.50374,0.85795,0.61393,0.34767,0.3834,0.20835,1.2474,0.63402,0.9276,0.00810841,0.00810841,0.00810841
146,3481.11,0.95641,0.50402,0.85695,0.61528,0.34965,0.38325,0.20615,1.25227,0.63356,0.92792,0.00808389,0.00808389,0.00808389
147,3504.93,0.95913,0.50663,0.85773,0.60653,0.34637,0.38392,0.20787,1.25884,0.638,0.92934,0.00805925,0.00805925,0.00805925
148,3528.22,0.95923,0.50606,0.85829,0.60845,0.35048,0.38596,0.2087,1.24843,0.63365,0.92378,0.0080345,0.0080345,0.0080345
